"Source Name",Path,URL,Domain,"Program Name",Comment,"Data Source"
"MicrosoftEdgeFavoritesBackup.html:Zone.Identifier","/Users/jcloudy/MicrosoftEdgeBackups/backups/MicrosoftEdgeBackup20180329/MicrosoftEdgeFavoritesBackup.html",,,,"Internet Zone",LoneWolf.E01
"DemLogic.jpg:Zone.Identifier","/Users/jcloudy/Desktop/DemLogic.jpg","https://pbs.twimg.com/media/DTMg6kTU0AAI_WN.jpg",twimg.com,,"Internet Zone",LoneWolf.E01
"MyTiredHead.jpg:Zone.Identifier","/Users/jcloudy/Desktop/MyTiredHead.jpg","https://i.ytimg.com/vi/zg_XS0HDtR0/maxresdefault.jpg",ytimg.com,,"Internet Zone",LoneWolf.E01
"BladeofGrass.jpg:Zone.Identifier","/Users/jcloudy/Desktop/BladeofGrass.jpg","https://i.pinimg.com/originals/3e/50/4c/3e504c694bee6b0b7ba71f11951641f0.jpg",pinimg.com,,"Internet Zone",LoneWolf.E01
"CubaDearmed.jpg:Zone.Identifier","/Users/jcloudy/Desktop/CubaDearmed.jpg","https://pbs.twimg.com/media/DZkOMreU8AATktQ.jpg:large",twimg.com,,"Internet Zone",LoneWolf.E01
"HoldMyTidePod.jpg:Zone.Identifier","/Users/jcloudy/Desktop/HoldMyTidePod.jpg","https://pbs.twimg.com/media/DZgQUtxWkAAdV4p.jpg:large",twimg.com,,"Internet Zone",LoneWolf.E01
"DeathToll.jpg:Zone.Identifier","/Users/jcloudy/Desktop/DeathToll.jpg","http://files.ctctcdn.com/c78b6ad2201/758c1556-7e15-41a3-9649-37a8472b9d2b.jpg",ctctcdn.com,,"Internet Zone",LoneWolf.E01
"rootkey.csv:Zone.Identifier","/Users/jcloudy/Downloads/rootkey.csv","https://console.aws.amazon.com/iam/service/download",amazon.com,,"Internet Zone",LoneWolf.E01
"DemGun.jpg:Zone.Identifier","/Users/jcloudy/Downloads/DemGun.jpg","https://images.dailykos.com/images/389211/story_image/AP_16166769545984.jpg?1492230268",dailykos.com,,"Internet Zone",LoneWolf.E01
"$RYRY5PT.jpg:Zone.Identifier","/$Recycle.Bin/S-1-5-21-2734969515-1644526556-1039763013-1001/$RYRY5PT.jpg","https://images.dailykos.com/images/389211/story_image/AP_16166769545984.jpg?1492230268",dailykos.com,,"Internet Zone",LoneWolf.E01
"DarkWolf.png:Zone.Identifier","/Users/jcloudy/Desktop/DarkWolf.png","http://wallfocus.com/cache/images/1/a/f/d/b/1afdb04f27398267de7387b7e046b7f6307088dc.png",wallfocus.com,,"Internet Zone",LoneWolf.E01
"Sheep.jpg:Zone.Identifier","/Users/jcloudy/Desktop/Sheep.jpg","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGj97KkT85EIF4JmTBMXqN6ZdDjwz23haexadoiZUl_ovnFQkC",gstatic.com,,"Internet Zone",LoneWolf.E01
"RedGuns.jpg:Zone.Identifier","/Users/jcloudy/Desktop/RedGuns.jpg","https://img.memecdn.com/you-cannot-invade-the-mainland-united-states-there-would-be-a-rifle-behind-every-blade-of-grass_o_7020053.jpg",memecdn.com,,"Internet Zone",LoneWolf.E01
"Huckleberry.png:Zone.Identifier","/Users/jcloudy/Desktop/Huckleberry.png","https://pics.onsizzle.com/okay-we-will-pryit-from-your-cold-dead-hands-dv6-31933650.png",onsizzle.com,,"Internet Zone",LoneWolf.E01
